2023-05-14T18:35:00.245545 start scheduler
2023-05-14T18:35:00.245657 start memcached [0] 2
2023-05-14T18:35:00.567157 start radix [2,3] 2
2023-05-14T18:35:29.400403 end radix
2023-05-14T18:35:29.686453 start blackscholes [2,3] 2
2023-05-14T18:35:31.657274 start dedup [1] 2
2023-05-14T18:35:33.028946 pause dedup
2023-05-14T18:35:33.801893 unpause dedup
2023-05-14T18:35:34.006134 pause dedup
2023-05-14T18:35:35.532180 unpause dedup
2023-05-14T18:35:35.735728 pause dedup
2023-05-14T18:35:37.819697 unpause dedup
2023-05-14T18:35:38.024792 pause dedup
2023-05-14T18:35:49.139202 unpause dedup
2023-05-14T18:35:59.100447 pause dedup
2023-05-14T18:36:10.596307 unpause dedup
2023-05-14T18:36:29.158419 pause dedup
2023-05-14T18:48:05.285621 update_cores ferret [1,2,3]
2023-05-14T18:48:06.078296 update_cores ferret [2,3]
2023-05-14T18:48:07.270905 update_cores ferret [1,2,3]
2023-05-14T18:48:07.512967 update_cores ferret [2,3]
2023-05-14T18:48:08.307253 update_cores ferret [1,2,3]
2023-05-14T18:48:08.547273 update_cores ferret [2,3]
2023-05-14T18:48:08.974447 update_cores ferret [1,2,3]
2023-05-14T18:48:29.227202 update_cores ferret [2,3]
2023-05-14T18:48:39.093720 update_cores ferret [1,2,3]
2023-05-14T18:48:49.306013 update_cores ferret [2,3]
2023-05-14T18:48:51.942922 update_cores ferret [1,2,3]
2023-05-14T18:48:53.162735 update_cores ferret [2,3]
2023-05-14T18:48:53.582893 update_cores ferret [1,2,3]
2023-05-14T18:48:53.830284 update_cores ferret [2,3]
2023-05-14T18:48:54.997934 update_cores ferret [1,2,3]
2023-05-14T18:48:58.197822 update_cores ferret [2,3]
2023-05-14T18:48:58.622999 update_cores ferret [1,2,3]
2023-05-14T18:49:19.199247 update_cores ferret [2,3]
2023-05-14T18:49:29.062745 update_cores ferret [1,2,3]
2023-05-14T18:49:35.547260 end ferret
2023-05-14T18:49:35.808836 start vips [2,3] 2
2023-05-14T18:50:00.553719 update_cores vips [2,3]
2023-05-14T18:50:09.837652 update_cores vips [1,2,3]
2023-05-14T18:50:28.301952 end vips
2023-05-14T18:50:28.304447 end scheduler
